城市,点位名称,场景类型,设备类型,状态,说明,关键词
"北京","北京天坛","文旅景区","AI旅拍机","已覆盖","围绕祈福文化与古建筑场景，打造古风留影与数字文创体验。","天坛 天坛公园 北京天坛"
"北京","北京圆明园","文旅景区","AI旅拍机","已覆盖","结合皇家园林遗址与历史文化叙事，生成兼具纪念感与传播属性的AI旅拍内容。","圆明园 北京圆明园"
"北京","北京颐和园","文旅景区","AI旅拍机","已覆盖","围绕皇家园林、湖景与古典建筑元素，打造高审美度的游客留影与文旅内容体验。","颐和园 北京颐和园"
"北京","北京八达岭长城","文旅景区","AI旅拍机","已覆盖","结合长城地标与民族文化符号，形成具有强纪念属性和传播价值的游客打卡内容。","八达岭 八达岭长城 北京长城"
"西安","西安大唐不夜城","文旅街区","AI旅拍机","已覆盖","以盛唐文化与夜游场景为核心，强化游客沉浸体验与社交传播效果。","大唐不夜城 西安大唐不夜城"
"西安","西安华清宫","文旅景区","AI旅拍机","已覆盖","通过皇家园林叙事与AI留影体验，提升文化遗产传播与景区数字化形象。","华清宫 西安华清宫"
"西安","西安秦始皇兵马俑","文旅景区","AI旅拍机","已覆盖","围绕秦文化与世界级遗产场景，打造具有历史厚重感的数字留影与文创体验。","兵马俑 秦始皇兵马俑 西安兵马俑"
"杭州","杭州西湖","文旅景区","AI旅拍机","已覆盖","结合湖景、园林与宋韵文化内容，形成适合游客分享的高品质旅拍场景。","西湖 杭州西湖"
"苏州","苏州拙政园","文旅景区","AI旅拍机","已覆盖","以江南园林美学为核心，生成具有古典气质与地域特色的游客留影内容。","拙政园 苏州拙政园"
"南京","南京夫子庙秦淮风光带","文旅街区","AI旅拍机","已覆盖","结合夜游、古街与秦淮文化元素，提升游客互动体验与夜间消费转化。","夫子庙 秦淮 南京夫子庙"
"上海","上海豫园","文旅景区","AI旅拍机","已覆盖","围绕海派文化与江南园林场景，打造兼具传统审美与城市消费属性的旅拍体验。","豫园 上海豫园"
"成都","成都宽窄巷子","文旅街区","AI旅拍机","已覆盖","融合川西民居、城市休闲与潮流消费场景，增强游客打卡与内容传播意愿。","宽窄巷子 成都宽窄巷子"
"重庆","重庆洪崖洞","文旅街区","AI旅拍机","已覆盖","依托山城夜景与立体建筑空间，打造强视觉冲击力的AI旅拍与社交传播内容。","洪崖洞 重庆洪崖洞"
"桂林","桂林漓江","文旅景区","AI旅拍机","已覆盖","结合山水景观与民族文化元素，生成具有自然美感与地域识别度的旅拍内容。","漓江 桂林漓江"
"丽江","丽江古城","文旅景区","AI旅拍机","已覆盖","结合民族服饰与古城场景内容，强化世界文化遗产的年轻化表达与游客传播。","丽江古城 丽江"
"北京","北京红螺寺","文旅景区","AI旅拍机","已覆盖","红螺寺是一个庙宇景区","红螺寺 北京红螺寺"
"洛阳","河南洛阳龙门石窟","文旅景区","AI旅拍机","已覆盖","在龙门主街道，有龙门大佛的玩法内容","河南 洛阳 龙门石窟 河南龙门石窟 洛阳龙门石窟"
"海南","海南分界洲岛","文旅景区","AI旅拍机","已覆盖","海南海边的好机器","海南 分界洲岛 海南分界洲岛 岛"
"北京","北京潭柘寺","文旅景区","AI旅拍机","已覆盖","围绕潭柘寺做的一些内容",""
"北京","北京慕田峪长城","文旅景区","AI旅拍机","已覆盖","","北京 慕田峪长城 长城 北京慕田峪长城"
"北京","北京什刹海","商业街道","AI旅拍机","已覆盖","著名的商业接到经典，景点古代建筑。","北京 什刹海 北京什刹海"
